Input function with masked if condition,Prediction is correct (exact match),Expected if condition,Predicted if condition,BLEU-4 prediction score (0-100),CodeBLEU prediction score (0-100)
"def _download_build_artifacts(self, build: Dict[str, Any]) -> None:
    arch = build[""arch_tag""]
    snap_build = self._lp_load_url(build[""self_link""])
    urls = snap_build.getFileUrls()
    if not urls:
        logger.error(f""Snap file not available for arch {arch!r}."")
        return
    for url in urls:
        file_name = _get_url_basename(url)
        self._download_file(url=url, dst=file_name)
        if file_name.endswith("".snap""):
            logger.info(f""Snapped {file_name}"")
        else:
            logger.info(f""Fetched {file_name}"")
",False,"if file_name . endswith ( "".snap"" ) :","if file_name . endswith ( "".fetch"" ) :",76.12,0
"def _add_custom_statement(self, custom_statements):
    if custom_statements is None:
        return
    self.resource_policy[""Version""] = ""2012-10-17""
    if self.resource_policy.get(""Statement"") is None:
        self.resource_policy[""Statement""] = custom_statements
    else:
        if not isinstance(custom_statements, list):
            custom_statements = [custom_statements]
        statement = self.resource_policy[""Statement""]
        if not isinstance(statement, list):
            statement = [statement]
        for s in custom_statements:
            if s not in statement:
                statement.append(s)
        self.resource_policy[""Statement""] = statement
",False,if s not in statement :,"if not isinstance ( statement , list ) :",6.74,0
"def display_failures_for_single_test(result: TestResult) -> None:
    """"""Display a failure for a single method / endpoint.""""""
    display_subsection(result)
    checks = _get_unique_failures(result.checks)
    for idx, check in enumerate(checks, 1):
        message: Optional[str]
        if check.message:
            message = f""{idx}. {check.message}""
        else:
            message = None
        example = cast(Case, check.example)  # filtered in `_get_unique_failures`
        display_example(example, check.name, message, result.seed)
        # Display every time except the last check
        if idx != len(checks):
            click.echo(""\n"")
",False,if check . message :,# filtered in `_get_unique_failures`,0.0,0
"def build(opt):
    dpath = os.path.join(opt[""datapath""], ""qangaroo"")
    version = ""v1.1""
    if not build_data.built(dpath, version_string=version):
        print(""[building data: "" + dpath + ""]"")
        if build_data.built(dpath):
            # An older version exists, so remove these outdated files.
            build_data.remove_dir(dpath)
        build_data.make_dir(dpath)
        # Download the data.
        for downloadable_file in RESOURCES:
            downloadable_file.download_file(dpath)
        # Mark the data as built.
        build_data.mark_done(dpath, version_string=version)
",False,if build_data . built ( dpath ) :,"if not build_data . built ( dpath , version_string = version )",39.65,0
"def call(self, step_input, states):
    new_states = []
    for i in range(self.num_layers):
        out, new_state = self.lstm_cells[i](step_input, states[i])
        step_input = (
            layers.dropout(
                out, self.dropout_prob, dropout_implementation=""upscale_in_train""
            )
            if self.dropout_prob > 0.0
            else out
        )
        new_states.append(new_state)
    return step_input, new_states
",False,if self . dropout_prob > 0.0,if self .,0.0,0
"def jupyter_progress_bar(min=0, max=1.0):
    """"""Returns an ipywidget progress bar or None if we can't import it""""""
    widgets = wandb.util.get_module(""ipywidgets"")
    try:
        if widgets is None:
            # TODO: this currently works in iPython but it's deprecated since 4.0
            from IPython.html import widgets  # type: ignore
        assert hasattr(widgets, ""VBox"")
        assert hasattr(widgets, ""Label"")
        assert hasattr(widgets, ""FloatProgress"")
        return ProgressWidget(widgets, min=min, max=max)
    except (ImportError, AssertionError):
        return None
",False,if widgets is None :,if,0.0,0
"def _record_event(self, path, fsevent_handle, filename, events, error):
    with self.lock:
        self.events[path].append(events)
        if events | pyuv.fs.UV_RENAME:
            if not os.path.exists(path):
                self.watches.pop(path).close()
",False,if events | pyuv . fs . UV_RENAME :,if not os . path . exists (,5.0,0
"def _get_v1_id_from_tags(self, tags_obj, tag):
    """"""Get image id from array of tags""""""
    if isinstance(tags_obj, dict):
        try:
            return tags_obj[tag]
        except KeyError:
            pass
    elif isinstance(tags_obj, []):
        try:
            for tag_dict in tags_obj:
                if tag_dict[""name""] == tag:
                    return tag_dict[""layer""]
        except KeyError:
            pass
    return """"
",False,"if tag_dict [ ""name"" ] == tag :","if isinstance ( tags_obj ,",3.31,0
"def query_lister(domain, query="""", max_items=None, attr_names=None):
    more_results = True
    num_results = 0
    next_token = None
    while more_results:
        rs = domain.connection.query_with_attributes(
            domain, query, attr_names, next_token=next_token
        )
        for item in rs:
            if max_items:
                if num_results == max_items:
                    raise StopIteration
            yield item
            num_results += 1
        next_token = rs.next_token
        more_results = next_token != None
",False,if max_items :,next_token = next_token,6.57,0
"def filter(this, args):
    array = to_object(this, args.space)
    callbackfn = get_arg(args, 0)
    arr_len = js_arr_length(array)
    if not is_callable(callbackfn):
        raise MakeError(""TypeError"", ""callbackfn must be a function"")
    _this = get_arg(args, 1)
    k = 0
    res = []
    while k < arr_len:
        if array.has_property(unicode(k)):
            kValue = array.get(unicode(k))
            if to_boolean(callbackfn.call(_this, (kValue, float(k), array))):
                res.append(kValue)
        k += 1
    return args.space.ConstructArray(res)
",False,if array . has_property ( unicode ( k ) ) :,if not is_boolean ( callbackfn . call (,4.65,0
"def every_one_is(self, dst):
    msg = ""all members of %r should be %r, but the %dth is %r""
    for index, item in enumerate(self._src):
        if self._range:
            if index < self._range[0] or index > self._range[1]:
                continue
        error = msg % (self._src, dst, index, item)
        if item != dst:
            raise AssertionError(error)
    return True
",False,if item != dst :,if item == dst :,37.99,0
"def schedule_logger(job_id=None, delete=False):
    if not job_id:
        return getLogger(""fate_flow_schedule"")
    else:
        if delete:
            with LoggerFactory.lock:
                try:
                    for key in LoggerFactory.schedule_logger_dict.keys():
                        if job_id in key:
                            del LoggerFactory.schedule_logger_dict[key]
                except:
                    pass
            return True
        key = job_id + ""schedule""
        if key in LoggerFactory.schedule_logger_dict:
            return LoggerFactory.schedule_logger_dict[key]
        return LoggerFactory.get_schedule_logger(job_id)
",False,if job_id in key :,if key in,0.0,0
"def Tokenize(s):
    # type: (str) -> Iterator[Token]
    for item in TOKEN_RE.findall(s):
        # The type checker can't know the true type of item!
        item = cast(TupleStr4, item)
        if item[0]:
            typ = ""number""
            val = item[0]
        elif item[1]:
            typ = ""name""
            val = item[1]
        elif item[2]:
            typ = item[2]
            val = item[2]
        elif item[3]:
            typ = item[3]
            val = item[3]
        yield Token(typ, val)
",False,elif item [ 2 ] :,if item [ 0 ] :,22.96,0
